Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iceland,ISL,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Informal employment (% of total non-agricultural employment),SL.ISV.IFRM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Informal employment, male (% of total non-agricultural employment)",SL.ISV.IFRM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Informal employment, female (% of total non-agricultural employment)",SL.ISV.IFRM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.95700073,24.68199921,25.11499977,25.86499977,24.93899918,23.51099968,24.67700005,26.63299942,23.14299965,22.10300064,22.90999985,22.54700089,21.65500069,23.35700035,21.69300079,21.54800034,20.89699936,22.00399971,19.50099945,18.44199944,18.55400085,18.22400093,18.63599968,18.43099976,17.83699989,17.45999908,17.4829998,17.30999947,17.13100052
Iceland,ISL,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.82799911,32.69800186,33.58100128,35.26300049,34.40800095,32.23199844,33.85699844,34.89400101,32.13499832,32.56100082,33.3429985,32.88100052,31.26199913,33.88100052,31.4829998,32.06200027,31.60899925,33.75299835,29.19000053,28.05400085,28.09399986,28.12000084,28.51000023,27.84499931,27.69599915,26.81399918,26.8939991,26.71100044,26.48900032
Iceland,ISL,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.67200089,15.0909996,15.30599976,15.11800003,14.18000031,13.41699982,13.94999981,16.94400024,12.88300037,10.2869997,10.92800045,10.93999958,10.79899979,11.74499989,10.61400032,9.496999741,8.616000175,8.585000038,8.87100029,7.767000198,8.012000084,7.373000145,7.803999901,7.964000225,6.925000191,6.940000057,6.967999935,6.833000183,6.68900013
Iceland,ISL,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52499.44922,50455.03125,51632.10547,52940.01563,50799.30469,52612.81641,55308.94141,56943.71875,56942.39063,57842.92969,59505.57422,60710.07422,62307.08203,66844,69465.71875,70969.46875,75437.75,76177.78906,74418.79688,70568.6875,71366.72656,70920.70313,72309.39063,71981.21875,73175.14063,76459.84375,79511.625,82067.78906,84533.72656
Iceland,ISL,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.555000067,2.556999922,2.782000065,1.743000031,0.981999993,0.537,0.393000007,0.284999996,0.200000003,0.386000007,0.226999998,0.314999998,0.224999994,0.150000006,0.101999998,0.071000002,0.041999999,0.041000001,0.046,0.048999999,0.048,0.046999998,0.061000001,0.081,0.105999999,0.131999999,0.174999997,0.167999998,0.160999998
Iceland,ISL,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.150000095,2.427000046,2.729000092,1.177000046,0.75,0.47299999,0.395000011,0.264999986,0.152999997,0.236000001,0.159999996,0.250999987,0.179000005,0.118000001,0.079999998,0.056000002,0.032000002,0.032000002,0.035,0.037,0.035999998,0.035,0.045000002,0.059999999,0.077,0.096000001,0.125,0.120999999,0.115999997
Iceland,ISL,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.042000055,2.711999893,2.844000101,2.390000105,1.246999979,0.611000001,0.391000003,0.310000002,0.254000008,0.555000007,0.30399999,0.386000007,0.27700001,0.185000002,0.127000004,0.089000002,0.052999999,0.052000001,0.057999998,0.061999999,0.061000001,0.059999999,0.078000002,0.104999997,0.137999997,0.173999995,0.230000004,0.219999999,0.210999995
Iceland,ISL,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.70800018,80.71600342,81.99099731,81.55400085,81.12400055,81.48699951,82.45800018,81.32099915,81.87799835,82.27600098,82.91000366,82.81099701,86.68299866,86.70500183,85.84999847,85.44000244,86.3730011,87.49500275,88.16699982,87.51100159,87.59600067,87.81199646,87.52700043,87.39499664,87.56300354,87.94100189,88.20800018,88.21900177,88.23000336
Iceland,ISL,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.94400024,74.44300079,75.71900177,74.48799896,73.66899872,74.71900177,77.34100342,75.20800018,75.96299744,76.61799622,76.53600311,75.94400024,81.40000153,82.41300201,79.88800049,79.37400055,81.10900116,82.90599823,83.41100311,83.7480011,83.94599915,84.4240036,83.66400146,83.16699982,83.15499878,83.99700165,84.49099731,84.49900055,84.51599884
