Magnitude,Longitude,Latitude,
4.5,-24.0255,63.5326, 10]
4.5,-24.1042,63.5254, 10]
4.3,-23.7586,63.642, 10]
4.2,-17.8506,64.6639, 10]
4.9,-17.5641,64.6591, 10]
4.7,-23.3999,63.7788, 10]
4.3,-23.3081,63.8039, 10]
4.2,-19.6049,66.2158, 10]
4,-16.0858,69.1398, 10]
4.5,-17.0442,68.8936, 10]
4.5,-17.7561,64.5973, 10]
4.5,-17.8035,64.667, 9.02]
4.7,-17.4295,68.9907, 10]
4.4,-18.9396,67.9471, 10]
4.4,-18.8327,67.9323, 10]
4.1,-19.0159,67.9096, 10]
4.3,-18.5438,68.0414, 10]
4.2,-18.9784,67.7321, 10]
4.3,-18.774,67.934, 10]
4.5,-17.5689,64.6367, 10]
4.3,-21.0068,64.1613, 10]
4.7,-17.7244,64.636, 10]
4.3,-16.9254,69.1278, 10]
4.5,-25.6439,62.5236, 10]
4.5,-17.6514,64.5583, 8.61]
4.5,-17.8029,64.5167, 10]
4.4,-19.547,63.9288, 10]
4.1,-18.2426,67.7481, 10]
4.3,-18.9579,67.793, 10]
4.7,-17.5617,64.7005, 10]
4.3,-17.7231,64.55, 10]
4.3,-17.7455,64.5653, 7.1]
4.2,-17.7242,66.5772, 10]
4.3,-17.7033,66.4096, 10]
4.4,-17.633,66.3979, 10]
4.9,-17.6816,66.4975, 10]
4.8,-17.7437,66.4105, 10]
4.2,-17.7433,66.5103, 10]
4.2,-17.9499,66.3632, 10]
5,-17.2917,64.6691, 10]
4.5,-17.7285,64.5844, 10]
4.4,-17.7956,64.4613, 7.25]
4.6,-17.8511,64.611, 10]
4.6,-17.5717,64.6666, 10]
4.3,-17.9505,64.5019, 9.15]
4.6,-17.6137,64.4904, 8.23]
4.7,-17.5233,64.5368, 10]
4.4,-17.8364,64.5507, 10]
4.3,-17.648,64.6892, 10]
4.4,-19.0846,63.6293, 10]
4.1,-19.3782,63.5577, 10]
4.4,-18.068,64.5478, 14.93]
4.4,-17.1699,68.9673, 10]
4.2,-17.8901,64.5807, 10]
4.4,-17.7338,64.6451, 6.36]
4.2,-17.8415,64.6427, 6.87]
4.3,-18.6575,67.8985, 10]
4.9,-18.3349,67.8535, 10]
5.2,-18.6708,67.8162, 10]
4.6,-18.94,67.7162, 10]
4,-18.9561,67.7392, 10]
4,-18.6584,68.2369, 10]
4.6,-17.9397,68.2403, 10.93]
4.5,-19.1589,63.6357, 10]
4.1,-19.2327,63.7045, 10]
4.5,-19.089,63.653, 3.8]
4.6,-17.771,64.6366, 7.3]
4.5,-23.2416,63.7217, 10]
4.5,-23.1378,63.8622, 10]
4.5,-23.0179,63.8386, 10]
4.4,-23.2388,63.9994, 10]
4.5,-22.7669,63.9175, 10.48]
4.3,-17.6296,64.4954, 8.1]
4.6,-17.0423,64.6857, 5.85]
4.6,-17.6288,64.5473, 8.6]
4.7,-17.7092,64.6159, 7.16]
4.6,-17.7707,64.5443, 7.98]
4.3,-17.993,64.2238, 10]
4.4,-17.888,64.5182, 7.93]
4.1,-17.6757,64.571, 8.26]
4.4,-17.7048,64.3609, 6.44]
4.3,-17.56,64.6038, 7.19]
4.5,-17.7979,64.2117, 8.19]
4.4,-17.959,64.4586, 10]
4.4,-17.7484,64.5044, 8.12]
4.6,-17.46,64.67, 1.1]
4.4,-17.6509,64.6122, 12.04]
4.6,-17.5206,64.6538, 6.63]
4.4,-17.6449,64.5352, 7.46]
4.5,-17.7247,64.5034, 8.12]
4.3,-17.9079,64.4309, 7.96]
4.3,-17.7489,64.4182, 7.89]
4.3,-17.9078,64.4304, 10]
4.7,-17.4205,64.5031, 12.54]
4.3,-17.5287,64.4333, 7.44]
4.7,-17.75,64.5082, 8.96]
4.7,-17.2895,64.7117, 7.35]
4.7,-17.3089,64.6132, 8.36]
4.3,-17.5978,64.5193, 7.2]
4.4,-17.4151,64.6046, 7.14]
4.5,-17.38,64.61, 1.1]
4.7,-17.271,64.6792, 8.95]
4.4,-17.9127,64.4444, 10]
4.5,-17.8055,64.59, 8.91]
4.5,-17.8284,64.4533, 8.19]
4.7,-17.5386,64.4568, 6.95]
4.5,-17.3729,64.7278, 6.99]
