Year,Netlending/Netborrowing,Grossdomesticsavings,GDPpercapitagrowth
1960,,,
1961,,,-2.012883033
1962,,,6.324752321
1963,,,8.337935834
1964,,,7.979744982
1965,,,5.527347379
1966,,,6.910046042
1967,,,-2.847474491
1968,,,-6.758929123
1969,,,1.427705267
1970,,28.64109419,12.16371356
1971,,28.54809578,12.15019808
1972,0.619786467,28.26303091,4.634456238
1973,-0.057578203,31.79705411,5.206311594
1974,-2.241695671,27.90024982,4.285800443
1975,-2.30419279,28.40323041,-0.632820661
1976,1.040750641,30.63981705,4.912547452
1977,-0.329645524,30.67175642,8.015183232
1978,-0.011730123,29.34296986,5.192434728
1979,-0.134969701,27.81826461,3.83954639
1980,0.466545327,28.57897753,4.634067457
1981,0.95560156,26.87711654,3.082534249
1982,0.801690448,24.9208216,0.798242257
1983,-2.29738953,24.78263952,-3.438184621
1984,0.967211083,24.73006037,3.027443634
1985,-1.849939041,22.58772796,2.482432973
1986,-3.922995286,23.90134136,5.494860522
1987,-2.162591709,21.33379838,7.363170065
1988,-3.386720972,21.60412572,-1.642347849
1989,-3.347991657,22.69580567,-0.975500418
1990,-2.56710167,21.93623643,0.385665625
1991,-3.682494765,20.47861572,-1.373406645
1992,-2.598984757,19.72175116,-4.580531409
1993,-3.022839886,21.72764394,0.288501949
1994,-2.848236319,22.78819061,2.714620493
1995,-2.407391918,21.60885821,-0.425046304
1996,-1.139659,21.21663764,4.010081081
1997,0.411088076,22.20143027,2.743807803
1998,1.174657297,21.53727672,5.954836287
1999,2.687127179,19.0718993,2.79249932
2000,2.618085816,18.0861473,3.46521256
2001,-0.058012277,22.06145557,2.52682783
2002,-1.191763766,21.36789904,-0.213504836
2003,-1.983328305,18.34448458,1.562379354
2004,0.763341892,19.43650668,7.097815347
2005,4.645429371,17.68521549,4.660165938
2006,5.799177277,19.20089434,2.806958242
2007,4.550538285,20.95603157,6.632997781
2008,-11.89352391,24.04304662,0.112891969
2009,-8.237727993,23.82058377,-7.094788173
2010,-8.469154834,23.78162067,-3.296819378
2011,-4.887932406,23.18828122,1.570878216
2012,-3.146523569,21.84282774,0.758868479
2013,-1.212992512,23.07970277,3.153507462
2014,0.715637987,23.34112932,0.950932855
2015,-0.211122623,26.49449126,3.385018756
2016,12.24614643,27.81531541,5.871643739
2017,1.79827453,26.192952,2.178764766
2018,-0.677957255,25.68761043,1.601307982
2019,,,
