Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GDP per person employed (constant 2011 PPP $),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52499.44922,50455.03125,51632.10547,52940.01563,50799.30469,52612.81641,55308.94141,56943.71875,56942.390629999994,57842.92969,59505.57422,60710.07422,62307.08203,66844.0,69465.71875,70969.46875,75437.75,76177.78906,74418.79688,70568.6875,71366.72656,70920.70313,72309.39063,71981.21875,73175.14063,76459.84375,79511.625,82067.78906,84533.72656
Trade (% of GDP),,,,,,,,,,,86.93858426,80.10973955,70.76075151,72.09101003,71.47009743,73.83652348,67.68289346,65.63538163,69.03938314,73.62412483,69.92941797,69.66834663,68.06685206,76.07469873,74.94070633,79.14159647,72.23513774,68.57658826,63.46745999,63.85071920000001,65.01312613,62.90343636,59.78952719,61.46578111,65.4025685,66.44834166,70.98946262,70.50288379,71.96795655,69.51235536,71.31564011,74.98420614,69.54541727,68.28668664,70.08737153,72.59552029,78.63117804,75.11992496,83.41876296,88.47450334,94.09103731,101.8190698,104.26750200000001,99.30630341,96.99365063,96.72570256,88.61129841,88.12612654,91.34944426,
Manufactures exports (% of merchandise exports),,,1.2103462759999999,1.710341638,1.8572679,1.663195114,3.23097733,3.519278266,2.50531253,4.35208413,3.299148512,4.445532235,4.869148499,4.365305297,5.5229432979999995,5.279371478,5.761554372000001,5.819254472000001,4.703959032,6.378698579,8.165893517,7.478287555,9.298455642999999,9.081477458,12.13531503,9.42869627,8.532705894,8.426092672000001,12.23587022,10.14367896,8.005983314,6.034512426,6.186690544,7.508198823,9.220378397000001,11.57710133,11.49745469,12.13939632,9.17788749,12.52163052,13.26869446,13.27791175,13.954144099999999,14.54906399,16.72875636,19.29910254,19.05485408,26.74918391,19.05041733,19.25961882,14.62570564,14.00388608,14.27916634,12.07737844,13.83740198,11.7268137,13.14352858,13.01260518,10.98733991,
Taxes on international trade (% of revenue),,,,,,,,,,,,,28.94056848,27.70577933,27.49157439,22.25867726,20.90491803,21.68415137,21.61248981,19.70908537,18.20583056,19.09924056,17.62634381,15.7321549,15.90153112,14.36718122,12.77339157,13.044307,9.967902188,9.229879052000001,9.084526936,9.434552962,8.379941943,5.13138373,1.4991642980000002,1.322065291,1.209579824,1.188792112,1.288309455,1.155999467,1.1902232879999999,1.249461857,0.976171562,0.9979110309999999,1.003382974,0.9709187709999999,1.115860723,1.192716334,1.222084617,1.193774325,1.273999811,1.479896694,1.4224700819999998,0.9953256429999999,0.888223592,0.724674115,0.444449088,0.462471425,0.46980488,
Tax revenue (% of GDP),,,,,,,,,,,,,22.78388949,22.83935393,23.73560123,22.84798783,21.73757095,20.71765286,21.11715374,21.86509151,21.17980376,22.51777143,22.91624581,20.5423824,20.91327253,20.07427315,20.27341615,20.66277507,22.27238599,23.40647174,23.472225299999998,22.82261537,23.12619337,22.47257123,22.22138652,22.47955748,23.40968999,21.96406924,23.98244862,25.89048293,25.1669752,22.84588028,22.65042491,23.70877507,24.74940591,27.22692895,27.14521056,25.93059448,22.87047705,19.74382702,20.09199901,20.59430065,21.43933883,21.97133999,24.6430829,22.91581915,37.75291422,24.15649925,23.31788439,
Surface area (sq. km),,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,
Net lending (+) / net borrowing (-) (% of GDP),,,,,,,,,,,,,0.6197864670000001,-0.057578203,-2.241695671,-2.30419279,1.040750641,-0.32964552399999997,-0.011730123,-0.134969701,0.466545327,0.95560156,0.801690448,-2.29738953,0.9672110829999999,-1.8499390409999998,-3.9229952860000004,-2.162591709,-3.386720972,-3.3479916569999997,-2.56710167,-3.682494765,-2.5989847569999998,-3.0228398860000003,-2.8482363189999997,-2.407391918,-1.139659,0.411088076,1.174657297,2.687127179,2.618085816,-0.058012277,-1.191763766,-1.983328305,0.763341892,4.6454293710000005,5.799177277,4.550538285,-11.89352391,-8.237727993,-8.469154834,-4.887932406,-3.1465235689999997,-1.212992512,0.715637987,-0.211122623,12.24614643,1.79827453,-0.677957255,
Gross domestic savings (% of GDP),,,,,,,,,,,28.64109419,28.54809578,28.26303091,31.79705411,27.90024982,28.40323041,30.63981705,30.67175642,29.34296986,27.81826461,28.57897753,26.87711654,24.9208216,24.78263952,24.73006037,22.58772796,23.90134136,21.33379838,21.60412572,22.69580567,21.93623643,20.47861572,19.72175116,21.72764394,22.78819061,21.60885821,21.21663764,22.20143027,21.53727672,19.071899300000002,18.0861473,22.06145557,21.36789904,18.34448458,19.43650668,17.68521549,19.20089434,20.95603157,24.04304662,23.82058377,23.78162067,23.18828122,21.84282774,23.07970277,23.34112932,26.49449126,27.81531541,26.192952,25.68761043,
GDP per capita growth (annual %),,-2.012883033,6.324752321,8.337935834,7.979744982000001,5.527347379,6.910046042,-2.8474744910000003,-6.758929123,1.427705267,12.16371356,12.15019808,4.634456238,5.206311594,4.285800443,-0.632820661,4.912547452,8.015183232,5.192434728,3.83954639,4.634067457,3.0825342489999996,0.7982422570000001,-3.4381846210000004,3.027443634,2.4824329730000003,5.494860522000001,7.363170065,-1.642347849,-0.975500418,0.385665625,-1.373406645,-4.580531409,0.288501949,2.714620493,-0.425046304,4.010081081,2.743807803,5.954836287000001,2.79249932,3.46521256,2.52682783,-0.213504836,1.5623793540000002,7.097815347,4.6601659380000005,2.806958242,6.632997781,0.11289196900000001,-7.0947881729999995,-3.296819378,1.5708782159999999,0.7588684790000001,3.153507462,0.950932855,3.385018756,5.871643739,2.178764766,1.6013079819999998,
GDP per capita (current US$),1414.9822689999999,1418.1258699999998,1562.23073,1831.7056559999999,2297.920643,2723.52095,3215.694178,3125.649492,2354.480027,2039.196295,2580.227702,3256.9881800000003,4020.8784539999997,5445.5155460000005,7051.135101000001,6463.878862,7594.673997,9972.222525,11253.62579,12659.6417,14844.094,15160.00707,13732.34681,11689.353490000001,11977.51684,12379.76764,16430.7085,22486.93841,24488.72802,22468.06866,25423.07201,26843.2781,27165.046019999998,23615.238999999998,24054.734669999998,26673.62532,27659.876119999997,27960.92221,30995.02875,32343.992939999996,32018.06325,28793.9599,32326.63774,39423.927319999995,47367.28186,56658.589589999996,56673.59304,69054.2708,56409.773460000004,41333.41987,43024.923839999996,47516.875739999996,45910.0209,49522.23697,54242.054679999994,52428.595760000004,61757.94931,71314.7742,73191.11632,
