0,Magnitude,Name,Time,Last Updated,TZ,URL,Details,Felt,CDI,MMI,Alert,Status,Tsunami,SIG,Net,Code,IDS,Sources,Types,NST,DMIN,RMS,GAP,MagType,Etype,Title,Location Type,Coordinates
0,4.5,"85km WSW of Grindavik, Iceland",1579362596645,1580753405040,-120.0,https://earthquake.usgs.gov/earthquakes/eventpage/us60007k5s,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60007k5s&format=geojson,,,,,reviewed,0,312,us,60007k5s,",us60007k5s,",",us,",",geoserve,origin,phase-data,",,1.699,0.76,66.0,mb,earthquake,"M 4.5 - 85km WSW of Grindavik, Iceland",Point,"[-24.0255, 63.5326, 10]"
1,4.5,"89km WSW of Grindavik, Iceland",1579357058501,1581279751879,-120.0,https://earthquake.usgs.gov/earthquakes/eventpage/us60007a2d,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60007a2d&format=geojson,1.0,3.4,,,reviewed,0,312,us,60007a2d,",us60007a2d,",",us,",",dyfi,geoserve,origin,phase-data,",,1.728,0.69,128.0,mb,earthquake,"M 4.5 - 89km WSW of Grindavik, Iceland",Point,"[-24.1042, 63.5254, 10]"
2,4.3,"67km SW of Sandgerdi, Iceland",1579356460299,1581279566040,-120.0,https://earthquake.usgs.gov/earthquakes/eventpage/us60007a28,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60007a28&format=geojson,,,,,reviewed,0,284,us,60007a28,",us60007a28,",",us,",",geoserve,origin,phase-data,",,1.537,1.25,153.0,mb,earthquake,"M 4.3 - 67km SW of Sandgerdi, Iceland",Point,"[-23.7586, 63.642, 10]"
3,4.2,"114km S of Akureyri, Iceland",1578200193041,1580451360040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/us600079aq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600079aq&format=geojson,,,,,reviewed,0,271,us,600079aq,",us600079aq,",",us,",",geoserve,origin,phase-data,",,1.495,1.03,115.0,mb,earthquake,"M 4.2 - 114km S of Akureyri, Iceland",Point,"[-17.8506, 64.6639, 10]"
4,4.9,"116km SSE of Akureyri, Iceland",1578198773421,1581551787040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/us70006uwl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70006uwl&format=geojson,,,,,reviewed,0,369,us,70006uwl,",us70006uwl,",",us,",",geoserve,moment-tensor,origin,phase-data,",,1.618,0.87,83.0,mww,earthquake,"M 4.9 - 116km SSE of Akureyri, Iceland",Point,"[-17.5641, 64.6591, 10]"
5,4.7,"44km SW of Sandgerdi, Iceland",1573910273230,1581106905040,-120.0,https://earthquake.usgs.gov/earthquakes/eventpage/us700068u5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700068u5&format=geojson,,,,,reviewed,0,340,us,700068u5,",us700068u5,",",us,",",geoserve,origin,phase-data,",,1.328,1.08,86.0,mb,earthquake,"M 4.7 - 44km SW of Sandgerdi, Iceland",Point,"[-23.3999, 63.7788, 10]"
6,4.3,"39km SW of Sandgerdi, Iceland",1573906669967,1581106905040,-120.0,https://earthquake.usgs.gov/earthquakes/eventpage/us70006bqj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70006bqj&format=geojson,,,,,reviewed,0,284,us,70006bqj,",us70006bqj,",",us,",",geoserve,origin,phase-data,",,1.282,0.59,119.0,mb,earthquake,"M 4.3 - 39km SW of Sandgerdi, Iceland",Point,"[-23.3081, 63.8039, 10]"
7,4.2,"32km WNW of Siglufjordur, Iceland",1563929757845,1570824744040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/us60004uin,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60004uin&format=geojson,4.0,4.5,,,reviewed,0,273,us,60004uin,",us60004uin,",",us,",",dyfi,geoserve,origin,phase-data,",,1.64,0.72,63.0,mb,earthquake,"M 4.2 - 32km WNW of Siglufjordur, Iceland",Point,"[-19.6049, 66.2158, 10]"
8,4.0,"271km ESE of Ittoqqortoormiit, Greenland",1563105186494,1569700840040,-60.0,https://earthquake.usgs.gov/earthquakes/eventpage/us60004unb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60004unb&format=geojson,,,,,reviewed,0,246,us,60004unb,",us60004unb,",",us,",",geoserve,origin,phase-data,",,2.441,1.07,95.0,mb,earthquake,"M 4.0 - 271km ESE of Ittoqqortoormiit, Greenland",Point,"[-16.0858, 69.1398, 10]"
9,4.5,"260km SE of Ittoqqortoormiit, Greenland",1562003191438,1568477319040,-60.0,https://earthquake.usgs.gov/earthquakes/eventpage/us70004hwe,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70004hwe&format=geojson,,,,,reviewed,0,312,us,70004hwe,",us70004hwe,",",us,",",geoserve,origin,phase-data,",,2.341,0.79,103.0,mb,earthquake,"M 4.5 - 260km SE of Ittoqqortoormiit, Greenland",Point,"[-17.0442, 68.8936, 10]"
10,4.5,"122km S of Akureyri, Iceland",1561384559936,1568215182040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/us60004584,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60004584&format=geojson,,,,,reviewed,0,312,us,60004584,",us60004584,",",us,",",geoserve,origin,phase-data,",,1.543,0.89,114.0,mb,earthquake,"M 4.5 - 122km S of Akureyri, Iceland",Point,"[-17.7561, 64.5973, 10]"
11,4.5,"114km S of Akureyri, Iceland",1561381749883,1568215182040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000457r,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000457r&format=geojson,,,,,reviewed,0,312,us,6000457r,",us6000457r,",",us,",",geoserve,origin,phase-data,",,1.515,1.04,115.0,mb,earthquake,"M 4.5 - 114km S of Akureyri, Iceland",Point,"[-17.8035, 64.667, 9.02]"
12,4.7,"241km SE of Ittoqqortoormiit, Greenland",1560051917036,1566928078040,-60.0,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xds,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xds&format=geojson,,,,,reviewed,0,340,us,70003xds,",us70003xds,",",us,",",geoserve,origin,phase-data,",,2.174,1.39,54.0,mb,earthquake,"M 4.7 - 241km SE of Ittoqqortoormiit, Greenland",Point,"[-17.4295, 68.9907, 10]"
13,4.4,"200km N of Siglufjordur, Iceland",1551339791930,1557858972040,-60.0,https://earthquake.usgs.gov/earthquakes/eventpage/us1000j8it,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000j8it&format=geojson,,,,,reviewed,0,298,us,1000j8it,",us1000j8it,",",us,",",geoserve,origin,phase-data,",,2.765,0.93,63.0,mb,earthquake,"M 4.4 - 200km N of Siglufjordur, Iceland",Point,"[-18.9396, 67.9471, 10]"
14,4.4,"198km N of Siglufjordur, Iceland",1551339445920,1557858972040,-60.0,https://earthquake.usgs.gov/earthquakes/eventpage/us1000j8j8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000j8j8&format=geojson,,,,,reviewed,0,298,us,1000j8j8,",us1000j8j8,",",us,",",geoserve,origin,phase-data,",,2.794,1.01,63.0,mb,earthquake,"M 4.4 - 198km N of Siglufjordur, Iceland",Point,"[-18.8327, 67.9323, 10]"
15,4.1,"196km N of Siglufjordur, Iceland",1551318126630,1557858984040,-60.0,https://earthquake.usgs.gov/earthquakes/eventpage/us1000jcge,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000jcge&format=geojson,,,,,reviewed,0,259,us,1000jcge,",us1000jcge,",",us,",",geoserve,origin,phase-data,",,2.79,0.98,65.0,mb,earthquake,"M 4.1 - 196km N of Siglufjordur, Iceland",Point,"[-19.0159, 67.9096, 10]"
16,4.3,"211km N of Siglufjordur, Iceland",1551313043000,1557858971040,-60.0,https://earthquake.usgs.gov/earthquakes/eventpage/us1000j8ed,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000j8ed&format=geojson,,,,,reviewed,0,284,us,1000j8ed,",us1000j8ed,",",us,",",geoserve,origin,phase-data,",,2.736,0.88,93.0,mb,earthquake,"M 4.3 - 211km N of Siglufjordur, Iceland",Point,"[-18.5438, 68.0414, 10]"
17,4.2,"176km N of Siglufjordur, Iceland",1551311659360,1557858984040,-60.0,https://earthquake.usgs.gov/earthquakes/eventpage/us1000jced,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000jced&format=geojson,,,,,reviewed,0,271,us,1000jced,",us1000jced,",",us,",",geoserve,origin,phase-data,",,2.962,1.02,116.0,mb,earthquake,"M 4.2 - 176km N of Siglufjordur, Iceland",Point,"[-18.9784, 67.7321, 10]"
18,4.3,"198km N of Siglufjordur, Iceland",1551311544910,1557858971040,-60.0,https://earthquake.usgs.gov/earthquakes/eventpage/us1000j8ds,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000j8ds&format=geojson,,,,,reviewed,0,284,us,1000j8ds,",us1000j8ds,",",us,",",geoserve,origin,phase-data,",,2.8,0.56,115.0,mb,earthquake,"M 4.3 - 198km N of Siglufjordur, Iceland",Point,"[-18.774, 67.934, 10]"
